AlumonosMatriculados,CostosAnuales
"11,376","84,960.00"
"20,000","52,042.00"
"26,455","61,908"
"57,261","74,463.00"
"21,656","22,972.00"
"15,877","92,892.00"
"22,193","2,068.92"
"38,596","33,318.00"
"43,800","11,763.00"
"2,100","63,255.00"
"24,806","66,104.00"
"45,057","30,363"
"54,411","47,146"
"32,777","4,200"
"32,699","11,540"
"21,904","80,000"
"27,440","15,000"
"69,200","40,000"
"66,540","35,000"
"53,302","40,000"
"14,721","80,000"
"8,623","80,000"
"25,500","70,000"
"17,000","16,800"
"61,690","40,000"
"11,449","40,000"
"49,065","40,000"
"40,124","30,000"
"34,840","50,000"
"18,934","40,000"
"27,813","20,000"
"26,402","80,000"
"27,011","20,000"
"36,649","80,000"
"40,250","30,000"
"19,861","25,000"
"85,924","35,000"
"58,284","40,000"
"30,000","15,000"
"34,496","40,000"
"42,680","35,000"
"27,000","60,000"
"58,461","70,000"
"51,225","70,000"
"42,881","15,000"
"8,500","25,000"
"14,208","30,000"
"47,000","30,000"
"21,223","15,000"
"22,192","10,000"
"22,732","80,000"
"11,566","40,000"
"10,249","20,000"
"29,434","30,000"
"42,324","20,000"
"38,213","20,000"
"29,193","25,000"
"15,818","80,000"
"51,420","15,000"
"17,192","5,000"
"18,009","80,000"
"18,042","25,000"
"50,700","15,000"
"52,600","20,000"
"40,000","30,000"
"51,991","40,000"
"37,493","20,000"
"32,168","8,000"
"29,534","30,000"
"44,087","40,000"
"308,748","10,000"
"35,821","50,000"
"48,000","15,000"
"13,633","25,000"
"47,700","25,000"
"46,081","50,000"
"24,161","40,000"
"26,635","35,000"
"8,848","80,000"
"28,664","35,000"
"23,000","35,000"
"20,771","29,000"
"38,627","35,000"
"30,898","17,000"
"8,000","14,000"
"15,194","11,000"
"16,807","29,000"
"44,615","40,000"
"20,268","35,000"
"88,116","45,000"
"52,211","40,000"
"97,325","10,000"
"33,769","15,000"
"36,993","8,000"
"342,542","10,000"
"40,061","35,000"
"32,000","14,000"
"3,555","13,000"
"44,517","14,000"
"36,897","23,000"
"10,000","18,000"
"25,495","12,000"
"41,470","23,000"
"10,119","40,000"
"27,947","34,000"
"37,675","16,000"
"18,460","9,000"
"44,520","34,000"
"20,000","23,000"
"26,065","44,000"
"41,442","14,000"
"32,551","70,000"
"12,113","16,350"
"32,718","29,140"
"38,166","14,800"
"49,886","39,427"
"34,833","14,170"
"30,000","3,598"
"27,014","20,160"
"15,960","23,400"
"43,352","35,520"
"40,000","20,250"
"56,074","28,908"
"18,298","8,075"
"33,500","3,000"
"36,222","10,080"
"37,894","26,880"
"71,511","19,200"
"28,383","32,500"
"31,426","44,000"
"12,896","4,132"
"104,000","3,920"
"78,224","7,280"
"44,000","29,200"
"35,434","6,400"
"11,966","20,160"
"88,900","7,840"
"26,808","6,000"
"11,000","34,800"
"38,938","5,000"
"13,336","32,500"
"33,474","22,400"
"7,536","54,100"
"38,000","24,640"
"1,000","6,400"
"20,000","7,200"
"33,933","12,487"
"30,000","9,600"
"30,000","16,200"
